"ASV","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ASV4 (Comamonadaceae; NA)",85.4313516021695,-0.000998435346606388,0.473503012401629,6.30994125773703e-14,4.85865476845751e-12
"ASV5 (Pseudomonadaceae; Pseudomonas)",59.331936821928,-0.00441513560235812,0.490825657792696,5.92043086507151e-07,9.11746353221012e-06
"ASV7 (Comamonadaceae; Candidatus Symbiobacter)",27.9275482807591,3.81781150243572,0.925565578877464,2.0203595560087e-07,5.18558952708901e-06
"ASV9 (Rhizobiaceae; NA)",23.3095698128483,3.06131614675476,0.897310907346195,8.89268567050137e-05,0.000560648168693622
"ASV14 (Sphingomonadaceae; Novosphingobium)",14.3117653828338,2.8752503646254,0.817538824803518,0.000188034600181187,0.000965244280930094
"ASV15 (Azospirillaceae; Azospirillum)",12.7543570370127,3.16589369839995,0.838702423062999,1.11614126267259e-06,1.22775538893985e-05
"ASV17 (Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium)",10.7436526811344,1.89426199377061,0.998192382831391,0.00810421202285977,0.0201298169600065
"ASV18 (Sphingomonadaceae; NA)",10.4190345331386,2.79823145028511,0.878346194517702,2.02638377319136e-05,0.000195039438169668
"ASV20 (Sphingomonadaceae; Novosphingobium)",9.17918303654672,-0.951614016367738,0.619955813894212,0.000621492214654304,0.00265860558491008
"ASV21 (Devosiaceae; Devosia)",9.00769550337773,2.03695932471735,0.814934106816245,0.00411234924290353,0.0121788804501374
"ASV23 (Rhizobiaceae; Aminobacter)",8.28027859074597,2.71274664875549,0.685522451614374,2.90615779654886e-07,5.59435375835655e-06
"ASV24 (Comamonadaceae; Pseudacidovorax)",8.07916682762846,3.23820439260671,0.632691137280993,5.09230220675088e-11,1.96053634959909e-09
"ASV27 (Xanthobacteraceae; NA)",6.62481919873136,0.299020220809885,0.393929619653114,0.00164992375771804,0.0055236577975778
"ASV28 (Bacillaceae; Bacillus)",6.50858131478874,2.74344793099782,0.737277698092845,1.01231043127964e-06,1.22775538893985e-05
"ASV30 (Rhizobiaceae; NA)",5.32643814242482,2.1377307540913,0.758682084631448,9.46548856235986e-05,0.000560648168693622
"ASV31 (Rhizobiaceae; NA)",5.23214437903385,0.732807788501914,0.552572156997484,0.00393676281046226,0.0121252294562238
"ASV32 (Beijerinckiaceae; Bosea)",5.16879432423385,2.06480332714225,0.786815908280758,0.000211115783961126,0.00101599471031292
"ASV36 (Comamonadaceae; Pseudorhodoferax)",4.3856506470598,2.10026381662111,0.720122823426883,5.35540928185327e-05,0.000374878649729729
"ASV37 (Rhodobacteraceae; NA)",4.38162712735917,-0.338569794415985,0.438423948479426,0.0198557327687582,0.0413213898160643
"ASV40 (Sphingomonadaceae; NA)",3.27627733218697,-0.00180154918351135,0.445099068975802,0.000458932652430429,0.00207869495512606
"ASV41 (Rubritaleaceae; Luteolibacter)",3.03539733849623,1.54814767891484,0.70661883230289,0.00122994684973725,0.00450980511570325
"ASV42 (Comamonadaceae; NA)",3.03819774890657,-0.0024456976319927,0.442962745405467,3.71526679985827e-05,0.000286075543589087
"ASV45 (Xanthobacteraceae; NA)",2.89188536106527,1.44196117705474,0.69886490508029,0.00665817829253678,0.0176786113284597
"ASV47 (Bacillaceae; NA)",2.83458563185696,0.714703521664719,0.547406896200104,0.0151458740973486,0.032395341819329
"ASV48 (Rhizobiaceae; NA)",2.79389313451815,-0.00158021383378857,0.429828448170638,2.72222410838257e-05,0.000232901395939397
"ASV55 (Sphingomonadaceae; Novosphingobium)",2.24774017608081,1.56039652998199,0.570279003693425,0.000125599975702405,0.00069079986636323
"ASV59 (Sphingomonadaceae; NA)",2.11667615011453,-1.30796059661565,0.562508777791328,0.00100515153977156,0.0038698334281205
"ASV60 (Sphingomonadaceae; Novosphingobium)",2.10540789877944,1.30096271718427,0.558418510170235,0.000978317567755168,0.0038698334281205
"ASV61 (Caulobacteraceae; Caulobacter)",2.0981924595644,1.19482008264638,0.603915797327076,0.00381086348682722,0.0121252294562238
"ASV62 (Comamonadaceae; NA)",2.03925832581926,1.25626530189275,0.554632140152114,0.00133602405582039,0.00467608419537136
"ASV64 (Rhizobiales Incertae Sedis; Nordella)",1.94898283803641,1.1151896446298,0.580793072496112,0.005325679987456,0.014645619965504
"ASV65 (Xanthomonadaceae; Pseudoxanthomonas)",1.95254789876696,1.13048720633991,0.57531036515677,0.00452889556282709,0.0129157391976921
"ASV66 (Dongiaceae; Dongia)",1.83349881537535,-1.03023477335494,0.542344647468805,0.0146806988620367,0.0322975374964807
"ASV69 (Flavobacteriaceae; Flavobacterium)",1.84331235981845,1.04229512627802,0.56607293258362,0.0078617691976446,0.0201298169600065
"ASV71 (Rhizobiaceae; NA)",1.77250004684973,0.995098740188896,0.548958209252336,0.0095803563336975,0.0230527324279596
"ASV74 (Reyranellaceae; Reyranella)",1.71770337210791,0.937505137978382,0.547798311384977,0.0144684767757853,0.0322975374964807
"ASV81 (Caulobacteraceae; Asticcacaulis)",1.55341202462029,-0.00296324538206655,0.404265415816576,0.0134936952047715,0.0314852888111336
