"ASV","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ASV4 (Comamonadaceae; NA)",85.4600502756381,6.32162328196173,0.875980370901627,6.28944295189947e-14,4.84287107296259e-12
"ASV5 (Pseudomonadaceae; Pseudomonas)",59.3920866082025,4.36706305995975,1.14982918766671,5.90741568062063e-07,9.09742014815577e-06
"ASV7 (Comamonadaceae; Candidatus Symbiobacter)",27.9273231346891,-0.00355455669651831,0.40533858528907,2.02045608061947e-07,5.18583727358996e-06
"ASV9 (Rhizobiaceae; NA)",23.3096799500202,0.410622156139564,0.591582325555449,8.89516539787118e-05,0.000560824703749711
"ASV14 (Sphingomonadaceae; Novosphingobium)",14.3123732995871,1.3033447695118,0.950292089370928,0.000187877764277218,0.000964439189956385
"ASV15 (Azospirillaceae; Azospirillum)",12.7541318909427,-0.00100762511723328,0.400281123648433,1.11629591329244e-06,1.22792550462168e-05
"ASV17 (Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium)",10.7434275350644,0.252133085831626,0.477850986429864,0.00809564509980076,0.0201085378285374
"ASV18 (Sphingomonadaceae; NA)",10.4188093870686,-0.000972913800337697,0.401681088270289,2.02701105997283e-05,0.000195099814522385
"ASV20 (Sphingomonadaceae; Novosphingobium)",9.18047770227338,-2.2386203571526,0.783342014327027,0.000623202962620353,0.00266592378454262
"ASV21 (Devosiaceae; Devosia)",9.0074703573077,0.874439631104561,0.871509306512015,0.00410372765027435,0.0121533472719663
"ASV23 (Rhizobiaceae; Aminobacter)",8.28005344467595,-0.00147781523494513,0.388835576372938,2.90386081316004e-07,5.58993206533308e-06
"ASV24 (Comamonadaceae; Pseudacidovorax)",8.07937857825728,-0.00126515759417324,0.385126688600466,5.08493389987142e-11,1.9576995514505e-09
"ASV27 (Xanthobacteraceae; NA)",6.62577177740768,-1.21647710484986,0.706747812115519,0.00165778865140068,0.00554998809381968
"ASV28 (Bacillaceae; Bacillus)",6.5086341938907,-0.000716644999851107,0.392656789502727,1.01313120363895e-06,1.22792550462168e-05
"ASV30 (Rhizobiaceae; NA)",5.32621299635479,-0.000839076847736734,0.392276000773888,9.46846902434578e-05,0.000560824703749711
"ASV31 (Rhizobiaceae; NA)",5.23267418472431,-0.381941371705037,0.510662628208588,0.00395208345989884,0.0121533472719663
"ASV32 (Beijerinckiaceae; Bosea)",5.16856917816382,-0.00082605688179807,0.39396042934506,0.000211195528922363,0.00101637848293887
"ASV36 (Comamonadaceae; Pseudorhodoferax)",4.38542550098978,-0.00104003046284687,0.389194290287284,5.35723406373182e-05,0.000375006384461227
"ASV37 (Rhodobacteraceae; NA)",4.38197574462711,-1.30887488370834,0.749307932304095,0.0198986374125451,0.0414106778585397
"ASV40 (Sphingomonadaceae; NA)",3.27823152718928,1.64129986765764,0.705721305628178,0.000457161046554138,0.00207067062262757
"ASV41 (Rubritaleaceae; Luteolibacter)",3.03517219242621,-0.000830070257104886,0.385597345934016,0.00123049380683495,0.00451181062506147
"ASV42 (Comamonadaceae; Pelomonas)",3.03797260283655,1.92853897839317,0.669582574360026,3.70241298904403e-05,0.000285085800156391
"ASV45 (Xanthobacteraceae; NA)",2.8918039078132,0.144406619511655,0.399554448543008,0.00666336545270151,0.017692384133035
"ASV47 (Bacillaceae; NA)",2.83436048578694,-0.200072931762657,0.410646994187305,0.0151609315678704,0.0324275480757228
"ASV48 (Rhizobiaceae; NA)",2.79423313842546,1.76815818228906,0.599809658524765,2.70957229903269e-05,0.000231818963361686
"ASV55 (Sphingomonadaceae; Novosphingobium)",2.24783277306449,0.000133847339166916,0.370160437572498,0.00012560729150099,0.000690840103255446
"ASV59 (Sphingomonadaceae; NA)",2.11702476738247,-1.26133982826844,0.580084915260058,0.00100877221926807,0.00388377304418206
"ASV60 (Sphingomonadaceae; Novosphingobium)",2.10518275270942,-0.00108560438991405,0.367519445639129,0.00097892731718404,0.00388377304418206
"ASV61 (Caulobacteraceae; Caulobacter)",2.09796731349438,-0.000703188036514003,0.373629947640129,0.00381280224838248,0.0121533472719663
"ASV62 (Comamonadaceae; NA)",2.03903317974923,-0.0012366397206808,0.366792669461508,0.00133688143746713,0.00467908503113496
"ASV64 (Rhizobiales Incertae Sedis; Nordella)",1.94875769196639,-0.000674559917779705,0.370494231751028,0.00532849122067604,0.0146533508568591
"ASV65 (Xanthomonadaceae; Pseudoxanthomonas)",1.95232275269693,-0.000728809576326482,0.369679727270204,0.00453184969144422,0.0129241639348594
"ASV66 (Dongiaceae; Dongia)",1.83387763071371,-0.707094247017398,0.517585884831276,0.0147129444173562,0.0323684777181836
"ASV69 (Flavobacteriaceae; Flavobacterium)",1.84308721374843,-1.69242800089059e-05,0.36846160079084,0.00786605449910837,0.0201085378285374
"ASV71 (Rhizobiaceae; NA)",1.77227490077971,-0.00109683883882131,0.365928452952263,0.00957725271183169,0.023045264337845
"ASV74 (Reyranellaceae; Reyranella)",1.71747822603789,-0.000408216436617587,0.366122564129559,0.0144764514535197,0.0323684777181836
"ASV81 (Caulobacteraceae; Asticcacaulis)",1.55328267376224,0.836651696094514,0.519741177668824,0.013447058942936,0.0313764708668507
