"ASV","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ASV1 (Rhizobiaceae; Sinorhizobium)",2153.84652174088,-0.172526974167817,0.716681219812236,0.00687642710307188,0.0140393720021051
"ASV4 (Comamonadaceae; NA)",27.1445364584219,-6.82583470834541,1.05122902146338,1.78479941851957e-10,9.20580752710093e-10
"ASV5 (Pseudomonadaceae; Pseudomonas)",7.36380313866659,0.00649048406513547,0.67047967117032,2.09487068796473e-15,1.57921021092726e-14
"ASV6 (Rhizobiaceae; NA)",39.2091069050149,-6.9590841528583,0.782576556482763,3.2464432481091e-29,3.18151438314691e-27
"ASV7 (Comamonadaceae; Candidatus Symbiobacter)",8.89243855976068,-6.44955795504894,0.846665560238248,7.64262618148793e-13,4.40574921050481e-12
"ASV8 (Methylophilaceae; Methylotenera)",27.8085240041438,-5.10713025799586,0.745556730766689,1.49053065358208e-17,1.62302226723382e-16
"ASV9 (Rhizobiaceae; NA)",23.3096799500202,-6.15150259664171,0.852377471360332,6.8524960228614e-21,1.11924101706736e-19
"ASV10 (Comamonadaceae; Azohydromonas)",3.58039762353467,-6.19240562310737,0.739353776750588,2.3179741415288e-09,9.87658547260096e-09
"ASV11 (Azospirillaceae; Azospirillum)",21.8254821366096,-5.8564325804511,0.816724903411081,6.88984995669242e-18,8.44006619694822e-17
"ASV13 (Rhizobiaceae; NA)",4.28281035534842,-5.59678008008562,0.72904496998576,5.99141877336691e-09,2.17466311033318e-08
"ASV14 (Sphingomonadaceae; Novosphingobium)",14.3123732995871,-5.20371092598052,0.830318673464863,1.63898661023197e-14,1.14729062716238e-13
"ASV15 (Azospirillaceae; Azospirillum)",3.35392573467909,-5.2449082220335,0.761349174845625,1.58447872502748e-05,4.43654043007693e-05
"ASV16 (Caulobacteraceae; Phenylobacterium)",11.5754835014231,-5.07749809889618,0.700959523473519,1.91041799072177e-22,4.68052407726834e-21
"ASV17 (Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium)",3.13373683713669,-5.04893593955636,0.718033484871411,1.61958557364289e-08,5.66854950775011e-08
"ASV19 (Sphingomonadaceae; Sphingopyxis)",9.2510995911279,-4.76903423032972,0.694750298586702,4.60384514775248e-22,9.02353648959485e-21
"ASV20 (Sphingomonadaceae; Novosphingobium)",9.18047770227338,-4.7176801618016,0.777295510271129,4.98516977329579e-17,4.88546637782988e-16
"ASV21 (Devosiaceae; Devosia)",9.0074703573077,-4.65944478528879,0.780363102061314,6.54926423562592e-16,5.83479904628491e-15
"ASV22 (Rhodocyclaceae; Dechloromonas)",8.86126296258469,-4.73147914285045,0.683399441775719,9.43643212276677e-24,4.62385174015572e-22
