"ASV","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ASV1 (Rhizobiaceae; Sinorhizobium)",2153.84652174088,0.0118119524273765,0.215657072955359,0.0068764271034527,0.0140393720028826
"ASV4 (Comamonadaceae; NA)",27.1445364584219,-7.19272796978074,1.0512408861731,1.78479941865068e-10,9.20580752777718e-10
"ASV5 (Pseudomonadaceae; Pseudomonas)",7.36380313866659,-7.62318740732313,0.791297121967423,2.09487068805999e-15,1.57921021099907e-14
"ASV6 (Rhizobiaceae; NA)",39.2091069050149,-2.03494938011201,0.930713825056078,3.24644324782212e-29,3.18151438286567e-27
"ASV7 (Comamonadaceae; Candidatus Symbiobacter)",8.89243855976068,-0.0758511299456804,0.232490753372111,7.64262618106955e-13,4.40574921026362e-12
"ASV8 (Methylophilaceae; Methylotenera)",27.8085240041438,-4.63836926610859,0.807159020306256,1.49053065354227e-17,1.62302226719047e-16
"ASV9 (Rhizobiaceae; NA)",23.3096799500202,-0.10926404929917,0.253745386575164,6.8524960222197e-21,1.11924101696255e-19
"ASV10 (Comamonadaceae; Azohydromonas)",3.58039762353467,5.15184253885846e-05,0.21335904820062,2.31797414147955e-09,9.87658547239111e-09
"ASV11 (Azospirillaceae; Azospirillum)",21.8254821366096,-3.35498847688428,0.859781506913964,6.88984995634951e-18,8.44006619652815e-17
"ASV13 (Rhizobiaceae; NA)",4.28281035534842,-3.23941233885378,0.762745009900263,5.99141877348352e-09,2.1746631103755e-08
"ASV14 (Sphingomonadaceae; Novosphingobium)",14.3123732995871,-2.58627069685017,0.917947903604586,1.63898661015797e-14,1.14729062711058e-13
"ASV15 (Azospirillaceae; Azospirillum)",3.35392573467909,-0.114525843289706,0.254913417040328,1.58447872500593e-05,4.4365404300166e-05
"ASV16 (Caulobacteraceae; Phenylobacterium)",11.5754835014231,-0.251222316693187,0.46793445922856,1.91041799065207e-22,4.68052407709756e-21
"ASV17 (Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium)",3.13373683713669,5.64157144453779e-06,0.213000515993939,1.61958557361542e-08,5.66854950765399e-08
"ASV19 (Sphingomonadaceae; Sphingopyxis)",9.2510995911279,-0.09334796838931,0.238278630532663,4.60384514759029e-22,9.02353648927696e-21
"ASV20 (Sphingomonadaceae; Novosphingobium)",9.18047770227338,-0.0660583308011592,0.2265838212639,4.98516977306426e-17,4.88546637760298e-16
"ASV21 (Devosiaceae; Devosia)",9.0074703573077,-0.0951428900102177,0.241710652951105,6.54926423533643e-16,5.834799046027e-15
"ASV22 (Rhodocyclaceae; Dechloromonas)",8.86126296258469,-0.0469722068861515,0.218293398977216,9.43643212244501e-24,4.62385173999805e-22
"ASV23 (Rhizobiaceae; Aminobacter)",8.28005344467595,0.000111836275205246,0.213738353662992,5.56469324794816e-18,7.79057054712743e-17
"ASV24 (Comamonadaceae; Pseudacidovorax)",8.07937857825728,-2.19599455146762,0.994536766212202,2.81886060419049e-09,1.15103474671112e-08
"ASV25 (Enterobacteriaceae; NA)",5.83950734570478,0.115557500713347,0.252904217751381,5.88628833169309e-13,3.60535160316202e-12
"ASV27 (Xanthobacteraceae; NA)",6.62577177740768,0.00021284488280075,0.211955528149216,4.23822171023999e-23,1.3844857586784e-21
