,Inoculum,Tissue,Surface,Group
141_1_N_N,141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
141_2_N_N,141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
141_5_N_N,141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
141_7_N_N,141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
141_1_N_S,141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
141_2_N_S,141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
141_5_N_S,141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
141_7_N_S,141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
141_1_R_N,141,Root,Not surface-sterilized,"Root, not surface-sterilized"
141_2_R_N,141,Root,Not surface-sterilized,"Root, not surface-sterilized"
141_5_R_N,141,Root,Not surface-sterilized,"Root, not surface-sterilized"
141_7_R_N,141,Root,Not surface-sterilized,"Root, not surface-sterilized"
141_1_R_S,141,Root,Surface-sterilized,"Root, surface-sterilized"
141_2_R_S,141,Root,Surface-sterilized,"Root, surface-sterilized"
141_5_R_S,141,Root,Surface-sterilized,"Root, surface-sterilized"
141_7_R_S,141,Root,Surface-sterilized,"Root, surface-sterilized"
717_10_N_N,717A + 141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
717_5_N_N,717A + 141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
717_6_N_N,717A + 141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
717_9_N_N,717A + 141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
717_10_N_S,717A + 141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
717_5_N_S,717A + 141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
717_6_N_S,717A + 141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
717_9_N_S,717A + 141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
717_10_R_N,717A + 141,Root,Not surface-sterilized,"Root, not surface-sterilized"
717_5_R_N,717A + 141,Root,Not surface-sterilized,"Root, not surface-sterilized"
717_6_R_N,717A + 141,Root,Not surface-sterilized,"Root, not surface-sterilized"
717_9_R_N,717A + 141,Root,Not surface-sterilized,"Root, not surface-sterilized"
717_10_R_S,717A + 141,Root,Surface-sterilized,"Root, surface-sterilized"
717_5_R_S,717A + 141,Root,Surface-sterilized,"Root, surface-sterilized"
717_6_R_S,717A + 141,Root,Surface-sterilized,"Root, surface-sterilized"
717_9_R_S,717A + 141,Root,Surface-sterilized,"Root, surface-sterilized"
733_10_N_N,733B + 141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
733_4_N_N,733B + 141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
733_8_N_N,733B + 141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
733_9_N_N,733B + 141,Nodule,Not surface-sterilized,"Nodule, not surface-sterilized"
733_10_N_S,733B + 141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
733_4_N_S,733B + 141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
733_8_N_S,733B + 141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
733_9_N_S,733B + 141,Nodule,Surface-sterilized,"Nodule, surface-sterilized"
733_10_R_N,733B + 141,Root,Not surface-sterilized,"Root, not surface-sterilized"
733_4_R_N,733B + 141,Root,Not surface-sterilized,"Root, not surface-sterilized"
733_8_R_N,733B + 141,Root,Not surface-sterilized,"Root, not surface-sterilized"
733_9_R_N,733B + 141,Root,Not surface-sterilized,"Root, not surface-sterilized"
733_10_R_S,733B + 141,Root,Surface-sterilized,"Root, surface-sterilized"
733_4_R_S,733B + 141,Root,Surface-sterilized,"Root, surface-sterilized"
733_8_R_S,733B + 141,Root,Surface-sterilized,"Root, surface-sterilized"
733_9_R_S,733B + 141,Root,Surface-sterilized,"Root, surface-sterilized"
