"contrast","estimate","SE","df","t.ratio","p.value","trait"
"internal - external",0.0626315789473685,0.237515278384192,204,0.26369494785114,0.96240127776162,"height1"
"internal - treated",-0.0411886457717326,0.146728900842596,204,-0.280712562659472,0.957501565225183,"height1"
"external - treated",-0.103820224719101,0.197577859565591,204,-0.525464872164157,0.858965386028946,"height1"
"internal - external",0.957894736842107,0.507190364797969,204,1.88862960206996,0.144558493667773,"leaf1"
"internal - treated",-0.274689532820816,0.313325042713186,204,-0.876691918533506,0.655612869125242,"leaf1"
"external - treated",-1.23258426966292,0.421907960409101,204,-2.92145298341314,0.0107782824179483,"leaf1"
"internal - external",-2.99407894736843,2.92511856047769,195,-1.02357524505929,0.562892608602595,"chloro1"
"internal - treated",-1.96432748538013,1.67836081043145,195,-1.17038450443511,0.472289424339412,"chloro1"
"external - treated",1.0297514619883,2.51053830579367,195,0.410171579382757,0.91148631760568,"chloro1"
"internal - external",0.257894736842104,0.358410379993927,203,0.71955152874332,0.752209263362218,"height2"
"internal - treated",-0.477133511745467,0.22147411880855,203,-2.15435335881354,0.0817226645996709,"height2"
"external - treated",-0.735028248587572,0.29818963985248,203,-2.46496910137858,0.038456706205592,"height2"
"internal - external",0.484210526315777,0.824309491203344,203,0.587413503645235,0.827023996849954,"leaf2"
"internal - treated",-0.445732976509085,0.509369226953968,203,-0.875068521855103,0.656636872309358,"leaf2"
"external - treated",-0.929943502824862,0.685807565933418,203,-1.35598314894523,0.366086601033178,"leaf2"
"internal - external",-3.69842105263158,1.42863394109841,201,-2.58878145495273,0.0277768876140312,"chloro2"
"internal - treated",-1.31984962406015,0.883291000150707,201,-1.49424099626845,0.295838493038335,"chloro2"
"external - treated",2.37857142857143,1.18895551345672,201,2.00055544690319,0.114688973665691,"chloro2"
"internal - external",-0.366315789473686,0.445338004160036,203,-0.822556768234061,0.689481786161335,"height3"
"internal - treated",-0.805411834671426,0.275189691897242,203,-2.92675146775547,0.0106136676164964,"height3"
"external - treated",-0.43909604519774,0.370511532270225,203,-1.18510763351219,0.463408465497122,"height3"
"internal - external",0.0315789473683795,2.71777517156306,203,0.011619411237103,0.999925567509228,"leaf3"
"internal - treated",-5.26107641986325,1.67940688897426,203,-3.13269908227933,0.0056190259268093,"leaf3"
"external - treated",-5.29265536723163,2.26112982448258,203,-2.34071273127485,0.0525700446678633,"leaf3"
"internal - external",-0.466315789473696,2.28294172512877,202,-0.204260925428306,0.977264273520474,"chloro3"
"internal - treated",-5.91779306220097,1.41109677259095,202,-4.19375423227363,0.000121201496436907,"chloro3"
"external - treated",-5.45147727272727,1.89964638478783,202,-2.86973265992141,0.0125791786636837,"chloro3"
"internal - external",-0.283684210526319,0.770727607108593,203,-0.368073243918911,0.928073922731683,"height4"
"internal - treated",-1.92509663990485,0.47625913520889,203,-4.04212013499855,0.000221174022411508,"height4"
"external - treated",-1.64141242937853,0.641228603903629,203,-2.55979290285251,0.0299997131475156,"height4"
"internal - external",2.06842105263148,8.20407434420168,203,0.252121198059761,0.965572122979444,"leaf4"
"internal - treated",-20.473386856973,5.06958011666036,203,-4.03847781982783,0.00022435439191637,"leaf4"
"external - treated",-22.5418079096045,6.82561139569095,203,-3.30253315092554,0.00323487211390849,"leaf4"
"internal - external",-2.66052631578948,3.98574282742156,202,-0.667510783055368,0.782605502124931,"chloro4"
"internal - treated",-12.599730861244,2.46360595990897,202,-5.11434501551116,2.17798292345694e-06,"chloro4"
"external - treated",-9.93920454545455,3.31655506991898,202,-2.99684592473761,0.00858832552106481,"chloro4"
"internal - external",-7.62359734154721e-14,6.84652404405762,202,-1.11349895107197e-14,1,"total_nod"
"internal - treated",-18.7556818181819,4.23186797792271,202,-4.4320101468261,4.53797047261784e-05,"total_nod"
"external - treated",-18.7556818181818,5.69702437232532,202,-3.29218914865313,0.00335040733974246,"total_nod"
"internal - external",1.93415789473657,40.1006670357892,202,0.0482325616431857,0.99871823615638,"shoot_mass"
"internal - treated",-94.8225807416271,24.7864065955318,202,-3.82558804464704,0.000508341000942214,"shoot_mass"
"external - treated",-96.7567386363636,33.367950799454,202,-2.89969076069085,0.0115120337681466,"shoot_mass"
"internal - external",3.67626315789461,15.518321426864,202,0.236898247998046,0.969540948835009,"root_mass"
"internal - treated",-23.7474072966508,9.59194579539329,202,-2.47576537682855,0.037410031499807,"root_mass"
"external - treated",-27.4236704545455,12.9128671450669,202,-2.12374758808094,0.0875942159153822,"root_mass"
"internal - external",-0.0806594415302129,0.303262292714866,202,-0.265972537528926,0.961761898548717,"ratio"
"internal - treated",-0.851111267485852,0.18744781690577,202,-4.54052376568197,2.86138734399977e-05,"ratio"
"external - treated",-0.770451825955639,0.252345958574904,202,-3.05315698458846,0.00721940475214644,"ratio"
