"contrast","wk","estimate","SE","df","t.ratio","p.value","trait"
"internal - external","1",-2.99407894736861,2.98030158875445,800,-1.0046228068549,0.574141226443215,"chloro"
"internal - treated","1",-1.96432748538034,1.71002346961799,800,-1.14871375760659,0.484397859572262,"chloro"
"external - treated","1",1.02975146198827,2.55790018308314,800,0.40257687489082,0.914559942859024,"chloro"
"internal - external","2",-3.69842105263167,2.76262746238826,800,-1.33873318172057,0.374101667698599,"chloro"
"internal - treated","2",-1.31984962406025,1.70806803905316,800,-0.772714900041037,0.719899245212366,"chloro"
"external - treated","2",2.37857142857142,2.29914819922876,800,1.03454463238573,0.555255605843256,"chloro"
"internal - external","3",-0.466315789473679,2.76262746238826,800,-0.16879430752873,0.9844157695175,"chloro"
"internal - treated","3",-5.91779306220096,1.70759273140331,800,-3.46557639498599,0.00161373050563063,"chloro"
"external - treated","3",-5.45147727272728,2.29879510881752,800,-2.37144983118199,0.0471307708452142,"chloro"
"internal - external","4",-2.66052631578947,2.76262746238826,800,-0.963042014173519,0.600487848615612,"chloro"
"internal - treated","4",-12.599730861244,1.7075927314033,800,-7.37865102698669,0,"chloro"
"external - treated","4",-9.93920454545454,2.29879510881752,800,-4.32365829704901,5.13132669298644e-05,"chloro"
"internal - external","1",0.0626315789473914,0.49403796836156,813,0.126774828977425,0.991178657271932,"height"
"internal - treated","1",-0.041188645771698,0.305199937306541,813,-0.134956272059546,0.99000929251534,"height"
"external - treated","1",-0.103820224719089,0.410967096504503,813,-0.252624177463686,0.965432617499113,"height"
"internal - external","2",0.257894736842078,0.494037968361558,813,0.522014001671508,0.860602775536004,"height"
"internal - treated","2",-0.477133511745487,0.305283077188491,813,-1.56292158785759,0.262420178638816,"height"
"external - treated","2",-0.735028248587566,0.411028843142547,813,-1.78826440248782,0.174136727208813,"height"
"internal - external","3",-0.366315789473694,0.494037968361559,813,-0.741472949313093,0.738859331684646,"height"
"internal - treated","3",-0.80541183467143,0.305283077188491,813,-2.63824592600704,0.023078669162201,"height"
"external - treated","3",-0.439096045197736,0.411028843142547,813,-1.06828523721255,0.534077869449137,"height"
"internal - external","4",-0.283684210526332,0.494037968361559,813,-0.574215401838749,0.833918990740959,"height"
"internal - treated","4",-1.92509663990486,0.30528307718849,813,-6.30593958117191,1.40904909962103e-09,"height"
"external - treated","4",-1.64141242937853,0.411028843142547,813,-3.99342395737732,0.000209514047068038,"height"
"internal - external","1",0.957894736842718,4.34563303530263,813,0.220426973253624,0.973571161507941,"leaf"
"internal - treated","1",-0.274689532820148,2.6845850215321,813,-0.102321040539585,0.994244604668009,"leaf"
"external - treated","1",-1.23258426966287,3.61492902441328,813,-0.340970531188485,0.937932604671097,"leaf"
"internal - external","2",0.484210526315257,4.34563303530261,813,0.111424623842298,0.99317861506041,"leaf"
"internal - treated","2",-0.445732976509593,2.68531633256626,813,-0.165989001408867,0.984925538798127,"leaf"
"external - treated","2",-0.92994350282485,3.61547215722348,813,-0.257212187616183,0.96418881828778,"leaf"
"internal - external","3",0.031578947368371,4.34563303530262,813,0.00726682329405936,0.999970886557062,"leaf"
"internal - treated","3",-5.26107641986323,2.68531633256626,813,-1.95920173577294,0.123123252200123,"leaf"
"external - treated","3",-5.29265536723161,3.61547215722348,813,-1.46389050643281,0.308948159023809,"leaf"
"internal - external","4",2.06842105263142,4.34563303530262,813,0.475976925761607,0.882649715767451,"leaf"
"internal - treated","4",-20.4733868569731,2.68531633256625,813,-7.62419928284853,5.24802423740311e-13,"leaf"
"external - treated","4",-22.5418079096045,3.61547215722348,813,-6.23481717721638,2.17817164305245e-09,"leaf"
