sample,treatment,replicate,rack,height1,leaf1,chloro1,height2,leaf2,chloro2,height3,leaf3,chloro3,height4,leaf4,chloro4,nod_mass,total_nod,shoot_mass,root_mass
141-1-r4,141,1,4,2.3,6,20.6,4.8,18,39.6,6.2,42,43.5,8.8,89,49.9,0.00164,58,403.35,208.79
141-2-r4,141,2,4,2.2,6,34.9,5,12,41.9,5.7,33,45.6,9.5,74,43.5,0.0017334,46,332.89,140.78
141-3-r4,141,3,4,3.3,6,31.5,5.4,12,40.6,6.2,32,43.9,9.2,100,47.5,0.001631,46,362.89,190.11
141-4-r4,141,4,4,2.7,6,34.8,5.2,15,38.5,6.1,36,40.8,8.3,88,49.9,0.0015138,57,340.2,147.96
141-5-r4,141,5,4,3.2,6,33.1,5.3,18,39.4,6.1,45,42.5,10.3,103,47,0.0012546,37,536.88,241.88
141-6-r12,141,6,12,1.6,3,31.8,3.1,9,35.5,4.6,18,35.9,6.5,66,47.1,0.0024099,27,181.04,63.73
141-7-r12,141,7,12,1.1,4,29.2,2.3,11,36.4,4.3,13,32.5,7,29,48,0.0005496,20,106.78,46.22
141-8-r12,141,8,12,2.1,6,32.9,4.5,12,36.3,6,33,41.1,8,79,49,0.0038994,36,319.8,129.48
141-9-r12,141,9,12,2.2,6,25.4,4.5,15,33.5,5.3,33,43.9,8.9,67,49.4,0.0011977,42,301.79,128.23
141-10-r12,141,10,12,1.7,5,NA,4,11,33,4.9,32,41.6,7.3,71,48.7,0.0020776,37,241.46,99.63
141-11-r16,141,11,16,2.5,6,23.4,4.3,12,35.1,5.9,19,39.1,6.7,55,44.1,0.0017146,41,240.23,107.67
141-12-r16,141,12,16,2.8,6,26.6,5,15,32.5,6,31,34.8,6.8,73,51.9,0.0019358,44,279.86,106.29
141-13-r16,141,13,16,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141-14-r16,141,14,16,2.3,7,20.6,3.9,16,36.9,5.3,17,30.5,7,51,45.6,0.0015516,35,177.24,74.49
141-15-r16,141,15,16,2.1,6,30.7,3.1,9,34.3,4.3,15,35.9,7,53,43.6,0.001881,37,144.37,51.36
141-16-r19,141,16,19,2.9,6,35.9,4.2,12,35.7,5.1,17,33.7,7.5,43,45.5,0.0014144,55,139.54,86.47
141-17-r19,141,17,19,2.8,6,32.1,5.1,12,39.4,6.4,28,39,9.2,70,46.5,0.0025312,30,288.88,102.18
141-18-r19,141,18,19,2.6,6,34.7,4.4,12,36.7,5.7,21,39.1,7.5,57,45.5,0.0019014,35,185.8,84.68
141-19-r19,141,19,19,2.7,6,31.5,4.7,12,36.1,5.8,18,34.7,9.1,58,47.1,0.0013532,42,223.07,92.66
141-20-r19,141,20,19,2.6,6,32.2,4.3,15,32.8,5.3,24,32.2,7.9,69,45.2,0.0012418,43,234.15,75.6
522-1-r11,522,1,11,2.5,6,40.8,4,12,38.2,5,18,28,5.5,22,27.6,NA,0,48.05,54.69
522-2-r11,522,2,11,3.1,6,41.1,4.8,12,38.4,5.1,17,27.5,5.7,18,25.1,NA,0,50.89,64.98
522-3-r11,522,3,11,2.2,6,37.6,3.3,12,37.1,4.3,15,24.1,4.8,13,26.2,NA,0,40.12,39.06
522-4-r11,522,4,11,1.4,5,36.7,3.1,9,33.9,3.8,15,28.8,3.7,21,27.5,NA,0,40.82,28.97
522-5-r11,522,5,11,2.5,6,36.5,4.5,12,33,5.1,17,25.3,5.3,15,27.4,NA,0,44.98,61.84
522-6-r3,522,6,3,3.1,8,35.3,4.3,14,25.2,4.2,17,25.2,4.2,25,17.8,NA,0,53.36,46.22
522-7-r3,522,7,3,2.5,6,36.5,4,12,31.7,3.7,18,29.4,3.9,33,18.1,NA,0,54.25,68.33
522-8-r3,522,8,3,2,6,33.2,3.2,9,36.2,3.8,15,30.2,3.7,23,26.7,NA,0,40.76,35.79
522-9-r3,522,9,3,2.3,6,42.2,3.8,12,38.3,4.1,15,27.5,4.3,27,26.3,NA,0,53.54,57.81
522-10-r3,522,10,3,3,6,31.1,3.3,12,29.5,4,17,30.7,4,18,25.7,NA,0,46.7,84.95
522-11-r36,522,11,36,2.5,8,39.4,3.7,13,29,3.9,15,26.6,3.6,24,21.3,NA,0,41.6,48.18
522-12-r36,522,12,36,2.5,6,38.9,3.8,12,34.1,3.8,14,29.4,3.9,22,22.8,NA,0,43.8,34.09
522-13-r36,522,13,36,2.1,6,37.1,3.8,12,35.5,4,18,27.7,4.3,26,21.7,NA,0,52.22,79.64
522-14-r36,522,14,36,2,3,45.8,3.1,9,43.9,3.5,15,24,3.4,23,20.5,NA,0,42.92,52.31
522-15-r36,522,15,36,3,6,34.6,3.8,12,31.1,3.9,18,27.1,4.4,19,24.9,NA,0,51,65.43
522-16-r9,522,16,9,1.7,3,36.4,3,9,26.2,3.7,15,25.1,4.3,16,26.7,NA,0,34.91,23.92
522-17-r9,522,17,9,3.1,6,35.4,4.6,12,34.1,4.9,15,24.3,5.3,19,24.2,NA,0,53.61,29.43
522-18-r9,522,18,9,2.6,3,35,3.9,9,31.3,4.2,12,30.5,5.2,17,23.8,NA,0,47.63,29.19
522-19-r9,522,19,9,2.2,6,36.3,4.1,12,38.4,4.1,14,25.9,5,19,24.3,NA,0,52.1,30.08
522-20-r9,522,20,9,1.7,6,34.7,2.9,9,32.6,4,15,31.5,4.4,21,24,NA,0,42.22,24.1
