"treatment2","rhizo","emmean","SE","df","lower.CL","upper.CL","trait"
"InCtrl","no",44.7219035021816,21.5201562590352,31.4595784648943,0.857228274656123,88.586578729707,"shoot"
"ExCtrl","no",42.869,30.1963986751014,30.5399071933409,-18.7545881352883,104.492588135288,"shoot"
"522","no",46.774,21.3520782705767,30.5399071933409,3.19954294849073,90.3484570515092,"shoot"
"702","no",35.636,21.3520782705767,30.5399071933409,-7.93845705150927,79.2104570515092,"shoot"
"717","no",43.902602156907,21.5201562590352,31.4595784648943,0.0379269293815767,87.7672773844324,"shoot"
"733","no",44.7198459883993,21.5201562590352,31.4595784648962,0.855170760873939,88.5845212159246,"shoot"
"141","yes",263.350107967065,21.5201562590352,31.4595784648942,219.48543273954,307.214783194591,"shoot"
"522co141","yes",225.071,21.3520782705767,30.5399071933409,181.49654294849,268.645457051509,"shoot"
"702co141","yes",248.6125,21.3520782705767,30.5399071933409,205.038042948491,292.186957051509,"shoot"
"717co141","yes",166.254371000369,21.5201562590352,31.4595784648942,122.389695772843,210.119046227894,"shoot"
"733co141","yes",176.271,21.3520782705767,30.5399071933409,132.696542948491,219.845457051509,"shoot"
"InCtrl","no",3.32002823488414e-15,2.63100450591168,31.5598960617129,-5.36211332664319,5.36211332664319,"nods"
"ExCtrl","no",5.95442262054768e-15,3.68460352317719,30.4294996907009,-7.5205129617406,7.52051296174061,"nods"
"522","no",5.95442262054768e-15,2.60540813722244,30.4294996907008,-5.3178057132481,5.31780571324811,"nods"
"702","no",5.95442262054768e-15,2.60540813722243,30.4294996907009,-5.3178057132481,5.31780571324811,"nods"
"717","no",3.32002823488415e-15,2.63100450591168,31.5598960617129,-5.36211332664319,5.36211332664319,"nods"
"733","no",2.39094781035827e-14,2.63100450591168,31.5598960617143,-5.36211332664316,5.3621133266432,"nods"
"141","yes",40.3842781651761,2.63100450591168,31.5598960617134,35.0221648385329,45.7463914918193,"nods"
"522co141","yes",33,2.60540813722244,30.4294996907008,27.6821942867519,38.3178057132481,"nods"
"702co141","yes",33.65,2.60540813722244,30.4294996907008,28.3321942867519,38.9678057132481,"nods"
"717co141","yes",31.3372756787735,2.63100450591168,31.5598960617129,25.9751623521303,36.6993890054167,"nods"
"733co141","yes",30.25,2.60540813722244,30.4294996907009,24.9321942867519,35.5678057132481,"nods"
