"rhizo","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","trait","perc_diff"
"no","ExCtrl - InCtrl",-1.8529035021816,37.0801782406579,30.845386052814,-100.82151726642,97.1157102620565,-0.0499701886586379,0.999898502961407,"shoot",-4
"no","522 - InCtrl",2.0520964978184,30.3154807299196,30.9985317411981,-78.8385001939051,82.9426931895419,0.0676913724740345,0.99976970210889,"shoot",5
"no","702 - InCtrl",-9.08590350218159,30.3154807299196,30.9985317411981,-89.9765001939051,71.8046931895419,-0.299711674808255,0.987446786106362,"shoot",-20
"no","717 - InCtrl",-0.819301345274552,30.4340968459159,31.4595784648943,-81.9590633568597,80.3204606663106,-0.0269205079231553,0.999980908458916,"shoot",-2
"no","733 - InCtrl",-0.00205751378228287,30.4340968459159,31.4595784648952,-81.1418195253655,81.137704497801,-6.76055475771076e-05,0.999999999998214,"shoot",0
"yes","522co141 - 141",-38.2791079670656,30.3154807299196,30.9985317411981,-116.752876789506,40.194660855375,-1.26269176821222,0.52602763682763,"shoot",-15
"yes","702co141 - 141",-14.7376079670652,30.3154807299196,30.9985317411981,-93.2113767895058,63.7361608553755,-0.486141324901373,0.935764130275483,"shoot",-6
"yes","717co141 - 141",-97.0957369666962,30.4340968459159,31.4595784648943,-175.813348327976,-18.3781256054167,-3.19036038619053,0.0116845333765851,"shoot",-37
"yes","733co141 - 141",-87.079107967065,30.3154807299196,30.9985317411981,-165.552876789506,-8.60533914462441,-2.87243038442478,0.0258205513138439,"shoot",-33
"no","ExCtrl - InCtrl",2.63439438566354e-15,4.52752557509478,30.8047288735362,-12.0850710374529,12.0850710374529,5.81861845277017e-16,1,"nods",0
"no","522 - InCtrl",2.63439438566354e-15,3.70274712499145,30.9929357816789,-9.88011666232839,9.88011666232839,7.11470239996371e-16,1,"nods",0
"no","702 - InCtrl",2.63439438566354e-15,3.70274712499145,30.9929357816789,-9.88011666232839,9.88011666232839,7.11470239996372e-16,1,"nods",0
"no","717 - InCtrl",3.15544362088405e-30,3.72080225492502,31.5598960617129,-9.91820155249096,9.91820155249096,8.48054641094502e-31,1,"nods",0
"no","733 - InCtrl",2.05894498686985e-14,3.72080225492502,31.5598960617137,-9.91820155249116,9.9182015524912,5.53360497496082e-15,1,"nods",0
"yes","522co141 - 141",-7.38427816517612,3.70274712499145,30.9929357816791,-16.9691961306833,2.20063980033103,-1.99427017722502,0.171064951474896,"nods",-18
"yes","702co141 - 141",-6.73427816517614,3.70274712499145,30.992935781679,-16.3191961306833,2.85063980033105,-1.81872483803271,0.234241675945205,"nods",-17
"yes","717co141 - 141",-9.04700248640263,3.72080225492502,31.5598960617132,-18.6691854235054,0.575180450700099,-2.43146554601971,0.0704283231754324,"nods",-22
"yes","733co141 - 141",-10.1342781651761,3.70274712499145,30.9929357816791,-19.7191961306833,-0.54936019966898,-2.73696199688482,0.0355742675871654,"nods",-25
