"contrast","estimate","SE","df","t.ratio","p.value","trait"
"InCtrl - ExCtrl",-0.298274473533976,0.683484392348445,30.9552595021916,-0.436402757507174,0.761509366685218,"height4"
"InCtrl - 522",-0.233274473533981,0.55861280434618,31.072513164526,-0.41759600159365,0.761509366685218,"height4"
"InCtrl - 702",0.481725526466018,0.55861280434618,31.072513164526,0.862360337461019,0.530007181497815,"height4"
"InCtrl - 717",-0.162103826950343,0.56025996782759,31.4252502780789,-0.289336801233365,0.834947448133875,"height4"
"InCtrl - 733",0.223782289424134,0.56025996782759,31.4252502780789,0.399425806366018,0.761509366685218,"height4"
"InCtrl - 141",-3.76995222058918,0.56025996782759,31.4252502780789,-6.72893377552421,7.33534549356231e-07,"height4"
"InCtrl - 522co141",-4.06827447353399,0.55861280434618,31.072513164526,-7.28281636561417,3.58554955380533e-07,"height4"
"InCtrl - 702co141",-3.81327447353399,0.55861280434618,31.072513164526,-6.82632844049677,6.50965642307135e-07,"height4"
"InCtrl - 717co141",-2.70327447353398,0.55861280434618,31.072513164526,-4.8392633546916,7.1608009663227e-05,"height4"
"InCtrl - 733co141",-3.23827447353399,0.55861280434618,31.072513164526,-5.79699292307519,6.6326915665544e-06,"height4"
"ExCtrl - 522",0.0649999999999956,0.682134846062902,30.7212435269498,0.0952890771892949,0.938680660733776,"height4"
"ExCtrl - 702",0.779999999999994,0.682134846062902,30.7212435269499,1.14346892627161,0.388978418533065,"height4"
"ExCtrl - 717",0.136170646583633,0.683484392348448,30.9552595021903,0.199230074758184,0.892042536869757,"height4"
"ExCtrl - 733",0.52205676295811,0.683484392348448,30.9552595021903,0.763816655950733,0.576552809413056,"height4"
"ExCtrl - 141",-3.4716777470552,0.683484392348448,30.9552595021903,-5.07938116205776,3.77746286671339e-05,"height4"
"ExCtrl - 522co141",-3.77000000000001,0.682134846062902,30.7212435269498,-5.52676647697949,1.30547362168774e-05,"height4"
"ExCtrl - 702co141",-3.51500000000001,0.682134846062902,30.7212435269499,-5.15294009723685,3.25213640966826e-05,"height4"
"ExCtrl - 717co141",-2.405,0.682134846062902,30.7212435269498,-3.52569585600415,0.00247289158371343,"height4"
"ExCtrl - 733co141",-2.94000000000001,0.682134846062902,30.7212435269499,-4.30999826056226,0.000295082075366312,"height4"
"522 - 702",0.714999999999998,0.55696076954202,30.7212435269499,1.28375289445957,0.32815665030009,"height4"
"522 - 717",0.0711706465836378,0.558612804346183,31.0725131645241,0.127406042306778,0.933381127124025,"height4"
"522 - 733",0.457056762958115,0.558612804346183,31.072513164524,0.818199581896565,0.54931094238614,"height4"
"522 - 141",-3.5366777470552,0.558612804346183,31.072513164524,-6.33117916298862,1.63277352928773e-06,"height4"
"522 - 522co141",-3.83500000000001,0.55696076954202,30.7212435269499,-6.88558370664682,6.50965642307135e-07,"height4"
"522 - 702co141",-3.58000000000001,0.55696076954202,30.7212435269499,-6.42774176526613,1.3965326281385e-06,"height4"
"522 - 717co141",-2.47,0.55696076954202,30.7212435269499,-4.43478272631488,0.000215025971325942,"height4"
"522 - 733co141",-3.00500000000001,0.55696076954202,30.7212435269499,-5.39535307391753,1.77531086069141e-05,"height4"
"702 - 717",-0.643829353416361,0.558612804346183,31.072513164524,-1.15255029674788,0.388978418533065,"height4"
"702 - 733",-0.257943237041884,0.558612804346183,31.072513164524,-0.461756757158096,0.760975224920662,"height4"
"702 - 141",-4.25167774705519,0.558612804346183,31.072513164524,-7.61113550204328,1.89056546795444e-07,"height4"
"702 - 522co141",-4.55,0.55696076954202,30.7212435269499,-8.16933660110639,1.86112629440438e-07,"height4"
"702 - 702co141",-4.295,0.55696076954202,30.7212435269499,-7.7114946597257,1.89056546795444e-07,"height4"
"702 - 717co141",-3.18499999999999,0.55696076954202,30.7212435269499,-5.71853562077445,8.1803990566861e-06,"height4"
"702 - 733co141",-3.72000000000001,0.55696076954202,30.7212435269498,-6.6791059683771,8.65663807363785e-07,"height4"
"717 - 733",0.385886116374477,0.560259967827593,31.4252502780769,0.688762607599378,0.620033284414222,"height4"
"717 - 141",-3.60784839363883,0.560259967827593,31.4252502780769,-6.43959697429081,1.30505744379652e-06,"height4"
"717 - 522co141",-3.90617064658364,0.558612804346183,31.072513164524,-6.99262640632726,5.12846872522679e-07,"height4"
"717 - 702co141",-3.65117064658364,0.558612804346183,31.072513164524,-6.53613848120986,1.12767842765003e-06,"height4"
"717 - 717co141",-2.54117064658363,0.558612804346184,31.072513164524,-4.5490733954047,0.000157917227977597,"height4"
"717 - 733co141",-3.07617064658365,0.558612804346183,31.072513164524,-5.50680296378829,1.30547362168774e-05,"height4"
"733 - 141",-3.99373451001331,0.560259967827593,31.4252502780769,-7.12835958189018,3.77785364980481e-07,"height4"
"733 - 522co141",-4.29205676295812,0.558612804346184,31.072513164524,-7.68341994591704,1.89056546795444e-07,"height4"
"733 - 702co141",-4.03705676295812,0.558612804346184,31.072513164524,-7.22693202079965,3.58554955380533e-07,"height4"
"733 - 717co141",-2.92705676295811,0.558612804346184,31.072513164524,-5.23986693499448,2.56494047438189e-05,"height4"
"733 - 733co141",-3.46205676295813,0.558612804346184,31.072513164524,-6.19759650337807,2.24328805546343e-06,"height4"
"141 - 522co141",-0.298322252944812,0.558612804346184,31.072513164524,-0.53404120103186,0.729805269279277,"height4"
"141 - 702co141",-0.0433222529448112,0.558612804346184,31.072513164524,-0.0775532759144624,0.938680660733776,"height4"
"141 - 717co141",1.0666777470552,0.558612804346184,31.072513164524,1.9095118098907,0.109111157512611,"height4"
